"","Date","dji_pctchg","snp_pctchg","vix_pctchg","libor_pctchg","exrate_pctchg","ffr_pctchg","ind_pctchg","pce_pctchg","unrate","m1_pctchg","m2_pctchg","t5_pctchg","t10_pctchg","div_pctchg","pe_ratio_pctchg","price_book_pctchg"
"3828",2008-07-14,-0.00838071416197225,-0.0109012574011547,0.00210677668539325,-0.000447927528909313,-0.000695147405315692,0.0485436893203884,0,0,5.8,0.00379880408019704,0.0034395692164996,0.0297619047619048,0.0420168067226891,0.00412327905514013,-0.00408538515866637,-0.00408486769906118
"3829",2008-07-15,0.0252441708778694,0.0250635439232861,-0.120532616659684,-0.00157024141565503,0.00264359248739695,-0.0972222222222223,0,0,5.8,0.00379880408019704,0.0034395692164996,0.0578034682080925,0.0483870967741936,0.001983574610245,-0.00838157886692793,-0.00835629017447196
"3830",2008-07-16,0.0184513490154869,0.012012559565257,-0.00358565737051792,0.000448833034111221,0.00249791847066117,0.0410256410256409,0,0,5.8,0.00379880408019704,0.0034395692164996,0.0491803278688524,0.0153846153846154,-0.0233737366721079,0.0252401326740732,0.0252183844183104
"3831",2008-07-17,0.00436023751206057,0.000285727446544637,-0.0383846861255498,0.00157200538358018,-0.000692081968219227,-0.0344827586206896,0,0,5.8,0.00379880408019704,0.0034395692164996,0.0104166666666667,-0.00378787878787888,-0.0165718349928875,0.0184550440178957,0.0184560727404106
"3832",2008-07-18,-0.00254253818349174,-0.000539434250460448,-0.0415800433089415,0.00313549270236471,0,0,0,0,5.8,0.00379880408019704,0.0034395692164996,-0.00515463917525774,-0.00760456273764259,-0.00437549721559276,0.0043574528385441,0
"3833",2008-07-21,0.0117865309512667,0.0134920634920635,-0.0811279427821233,-0.00111810472318873,0.00638976264452732,-0.00505050505050506,0,0,5.8,-0.00322377181302133,-0.000282438730052741,0,-0.00766283524904215,0.00257872371336227,-0.00253963774889346,-0.00256070640176605
"3834",2008-07-22,0.00257529696186163,0.00406416679718096,0.00613781869688393,0.00134108180599006,0.0049689581077553,0.0355329949238579,0,0,5.8,-0.00322377181302133,-0.000282438730052741,-0.00518134715025907,-0.00772200772200773,-0.0116649760904217,0.0117875181969814,0.0118035882908404
"3835",2008-07-23,-0.0243372046689888,-0.0231244225616648,0.0999531722174176,-0.00178571428571425,0.00164815277154676,0.00980392156862746,0,0,5.8,-0.00322377181302133,-0.000282438730052741,-0.104166666666667,-0.0739299610894942,-0.00256579429660586,0.00257469228932085,0.00256649556696231
"3836",2008-07-24,0.0018864770703509,0.00416750829312211,-0.0226109631991909,-0.000669051878354138,-0.000959810777457972,0.0339805825242718,0,0,5.8,-0.00322377181302133,-0.000282438730052741,-0.0116279069767442,0,0.0249522269586946,-0.0243386612283791,-0.0243192925296719
"3837",2008-07-25,-0.0210726299757331,-0.0185965643795591,0.0576167612396334,0.00111702641839084,0,0,0,0,5.8,-0.00322377181302133,-0.000282438730052741,-0.0529411764705882,-0.0210084033613445,-0.00190025456240367,0.00188775874800509,0
"3838",2008-07-28,0.0239401289122591,0.023356008422742,-0.0907964919521255,0.000894054537326758,0.00908459713462902,0.0249999999999999,0,0,5.8,0.000843703859945191,0.000243993270922376,0.0372670807453415,0.0171673819742489,0.0215532725052087,-0.0210709636771062,-0.0210695473618428
"3839",2008-07-29,0.0163307643936272,0.0166719916220135,-0.0372220591365383,0.00067172845020094,0.000136434323733034,-0.00975609756097562,0,0,5.8,0.000843703859945191,0.000243993270922376,-0.00598802395209581,0,-0.0233842042337717,0.0239350075290233,0.0239246086031312
